UTC,N,swe_ms
2021-03-16,4882.09477217805,0.03603356587884505
2021-03-17,4948.062445381694,-0.06418184334081435
2021-03-18,4928.335755125075,-0.03494225787118785
2021-03-19,4911.860694335868,-0.008902076728423565
2021-03-20,4956.084925112562,-0.07700566293216922
2021-03-21,5002.128006715514,-0.1454364969590854
2021-03-22,4984.05231621775,-0.11744008322069749
2021-03-23,4940.179348652987,-0.05227153782123955
2021-03-24,4880.067989665785,0.038091371666349495
2021-03-25,4894.534587944264,0.015963712729930253
2021-03-26,4910.182274341664,-0.008089729276516364
2021-03-27,4909.424500369382,-0.006337740967744796
2021-03-28,4939.833523724233,-0.05194908116905241
2021-03-29,5001.967859081825,-0.14404360687865206
2021-03-30,5006.64412132254,-0.15175180720807235
2021-03-31,4984.101617074886,-0.11882765101663273
2021-04-01,5005.867406683743,-0.15032991540421903
2021-04-02,5046.828087629334,-0.2101174823319344
2021-04-03,5022.9635385307,-0.17479789001639814
2021-04-04,5033.453428096042,-0.19033588145496805
2021-04-05,4962.424475821191,-0.08419085452360138
2021-04-06,4790.865710156446,0.1769427289608946
2021-04-07,4928.447534729533,-0.03414709206264171
2021-04-08,4930.058173928271,-0.03783939533000423
2021-04-09,4897.1737709557165,0.01244584527871489
2021-04-10,4933.802352877816,-0.04341919532959477
2021-04-11,4884.379007370956,0.03216846672845836
2021-04-12,4859.902914759597,0.06924265786345758
2021-04-13,4891.926344894862,0.019997281570490643
2021-04-14,4753.836131878753,0.23578528115444672
2021-04-15,4691.362250231266,0.33673474982082846
2021-04-16,4765.212061739692,0.21785075758048422
2021-04-17,4849.830040073105,0.08472054692397697
2021-04-18,4853.820206648146,0.07840107887611587
2021-04-19,4583.028715193761,0.5181006012610648
2021-04-20,4603.957788166356,0.4805265793970457
2021-04-21,4728.684250203622,0.2766378657796444
2021-04-22,4815.049220759466,0.13851568112722853
2021-04-23,4794.455314756924,0.17094631400549423
2021-04-24,4738.508111716012,0.2602902910383114
2021-04-25,4560.2513531637305,0.5541613483994557
2021-04-26,4638.476635595701,0.42512352665822273
2021-04-27,4778.928184588661,0.19594500810342097
2021-04-28,4807.772314925687,0.15069009355338117
2021-04-29,4825.6002446976445,0.12238117540329031
2021-04-30,4855.706582957949,0.07598877009317952
2021-05-01,4939.712342877228,-0.05143411511771828
2021-05-02,4927.21253702275,-0.03323012340853812
2021-05-03,4946.457897494206,-0.06098822836813841
2021-05-04,4958.3394133042975,-0.08012597778469029
2021-05-05,4894.2218764187455,0.0167028317023287
2021-05-06,4917.601286657622,-0.01895843512101745
2021-05-07,4916.569113000596,-0.01685458819831147
2021-05-08,5035.948204878117,-0.18053709696280718
2021-05-09,4894.051364581792,0.031041889245059354
2021-05-10,4861.591800431366,0.06808893451094077
2021-05-11,4871.0684824861755,0.05250314516781279
2021-05-12,4839.6467656810955,0.10098846794588855
2021-05-13,4694.90736955406,0.3307080727795523
2021-05-14,4733.5775815883635,0.2684611406116218
2021-05-15,4775.795687317077,0.20043372933853773
2021-05-16,4893.935013064726,0.017219283460721088
2021-05-17,4920.344247688607,-0.02300754389472401
2021-05-18,4967.061314820593,-0.0927000097431645
2021-05-19,5140.1983660506185,-0.3440843872481391
2021-05-20,4922.301133871101,-0.01839779948831698
2021-05-21,4478.236346917997,0.6989709012936095
2021-05-22,4397.433359032945,0.8415784016595778
2021-05-23,4551.07334355727,0.5710780231032032
2021-05-24,4606.699283033861,0.47664676860521477
2021-05-25,4647.584261373369,0.407555050368887
2021-05-26,4621.582179548735,0.45134457510291875
2021-05-27,4561.975427558426,0.5516806056440962
2021-05-28,4647.269401595532,0.40975919441541725
2021-05-29,4842.18059882459,0.09615247905232312
2021-05-30,4850.78321112351,0.08374419026982598
2021-05-31,4898.414221009968,0.010050615283925767
2021-06-01,4871.9244294470955,0.05032777613829902
