,pts,dates,swe bare [cm],swe j15 [cm]
62,p07,2021-02-24,0.8619331454724644,0.715776702585437
63,p07,2021-03-04,0.9344497207853155,0.7871697441664532
64,p08,2021-01-15,-0.01675314243800232,-0.0
65,p08,2021-01-21,0.4783038460835567,0.4959086670711103
66,p08,2021-01-22,0.5149527056707794,0.532624143640171
67,p08,2021-01-29,0.38693963240463447,0.40438058148891737
68,p08,2021-02-17,0.9505972606738134,0.9691008676098865
69,p08,2021-02-18,0.867660763511862,0.8860000590669347
70,p08,2021-02-24,0.2871734046999412,0.3044389450199277
71,p08,2021-03-04,0.48045152197717855,0.4980602327761037
72,p09,2021-01-15,-0.02487347799694265,-0.0
73,p09,2021-01-21,0.3857951305463127,0.4117081911462189
74,p09,2021-01-22,0.9638977995480507,0.9914339926073938
75,p09,2021-01-29,0.18381419839542334,0.20920481266875443
76,p09,2021-02-17,0.8007019229660349,0.8277598842771111
77,p09,2021-02-18,0.8996397404591466,0.9269856820450488
78,p09,2021-02-24,0.17700712297644,0.20238051102581442
79,p09,2021-03-04,0.21343641360562965,0.23890227673825848
80,p10,2021-01-15,-0.022134495274025653,-0.0
81,p10,2021-01-21,0.36679310023624606,0.3898017190799163
82,p10,2021-01-22,0.39436289629552296,0.41743621507158407
83,p10,2021-01-29,0.2154330089164058,0.23809298091429593
84,p10,2021-02-17,0.7628201570237699,0.786794887089883
85,p10,2021-02-18,0.9595041077649729,0.9839891769428658
86,p10,2021-02-24,0.4718120839878821,0.4950691638078729
87,p10,2021-03-04,0.32809567694593084,0.35101410794035687
88,p11,2021-01-15,-0.05538879117092945,-0.0
89,p11,2021-01-21,0.7798724615150935,0.8401882486633917
90,p11,2021-01-22,0.8618192071628445,0.9226664775691928
91,p11,2021-01-29,0.5327235641448226,0.5914906160386972
92,p11,2021-02-17,0.8405663515804349,0.9012749036895742
93,p11,2021-02-18,0.714899503607867,0.7748003374397137
94,p11,2021-02-24,0.47080036980085793,0.5291917938938012
95,p11,2021-03-04,0.5100530478863078,0.5686820137714631
96,p12,2021-01-15,-0.046966605968865496,-0.0
97,p12,2021-01-21,0.3600371154067863,0.4089482966492634
98,p12,2021-01-22,0.17243609929719958,0.22043036113339576
99,p12,2021-01-29,0.2732367603340248,0.3217192174104971
100,p12,2021-02-17,0.8884379957207594,0.9401340783022971
101,p12,2021-02-18,0.8545627254219067,0.9060708763116199
102,p12,2021-02-24,0.5408356502840458,0.5906652444279035
103,p12,2021-03-04,0.4213285197427957,0.47054715905500694
104,p13,2021-01-15,-0.0237403101186601,-0.0
105,p13,2021-01-21,0.3189824141068384,0.3435448529097782
106,p13,2021-01-22,0.32880614381592405,0.3533930263941654
107,p13,2021-01-29,0.1699394063794255,0.19413707756727672
108,p13,2021-02-17,0.7181671760682216,0.7437644017544883
109,p13,2021-02-18,0.6310386463270732,0.6564025952192952
110,p13,2021-02-24,0.3506012176253363,0.37524251092574207
111,p13,2021-03-04,0.1338537089399674,0.15796475819146358
112,p14,2021-01-15,0.028412636219730947,-0.0
113,p14,2021-01-21,0.70844565179022,0.678009508638988
114,p14,2021-01-22,0.5548670148361052,0.5249131607799985
115,p14,2021-01-29,0.32039502439782014,0.29114844980227617
116,p14,2021-02-17,0.7989965807669291,0.7682687844960306
117,p14,2021-02-18,0.7953074552826261,0.7645916486920835
118,p14,2021-02-24,0.2169241381531402,0.18797889253907116
119,p14,2021-03-04,0.3855097270983215,0.35607017752426584
120,p15,2021-01-15,-0.002222967457842459,-0.0
121,p15,2021-01-21,1.1423387038415982,1.144841783575631
122,p15,2021-01-22,0.9818579710145245,0.9843176360068892
123,p15,2021-01-29,0.6354407400948227,0.6378114951545388
124,p15,2021-02-17,1.018570022339339,1.0210394913274172
125,p15,2021-02-18,0.8645562579236082,0.8669850953457555
126,p15,2021-02-24,0.2565050136139356,0.2587855881980012
127,p15,2021-03-04,0.2968993753082962,0.2991892275275851
128,p16,2021-01-15,0.04107246617659793,-0.0
129,p16,2021-01-21,0.37787254069890913,0.3354029077711199
130,p16,2021-01-22,0.9357985561477651,0.8907884979401499
131,p16,2021-01-29,0.21104855713322676,0.16928317204705873
132,p16,2021-02-17,0.7838094035363244,0.7395207816341235
133,p16,2021-02-18,0.878580454871351,0.8338446616640457
134,p16,2021-02-24,0.18638794172256506,0.14472460909469217
135,p16,2021-03-04,0.37862018312243007,0.3361473388428274
136,p17,2021-01-15,0.05262081268801728,-0.0
137,p17,2021-01-21,0.5379692814714974,0.4827283012096123
138,p17,2021-01-22,0.5456013547404656,0.49031703192976367
139,p17,2021-01-29,0.1819547454920021,0.12866126848202677
140,p17,2021-02-17,0.9418683252838014,0.8842368196933923
141,p17,2021-02-18,1.1271517431143312,1.0683549070796066
142,p17,2021-02-24,0.855506350991675,0.7984029277333292
143,p17,2021-03-04,0.7452346705407678,0.688791948380629
144,p18,2021-01-15,0.07503558948838164,-0.0
145,p18,2021-01-21,0.778911607563988,0.6983310434284504
146,p18,2021-01-22,0.8408643571607711,0.7597560183100898
147,p18,2021-01-29,0.36683648735326607,0.2895996078743301
148,p18,2021-02-17,0.9851361139645642,0.9027722327736407
149,p18,2021-02-18,0.8926821522889339,0.8111271619323415
150,p18,2021-02-24,0.28155812381897083,0.20497835929728997
151,p18,2021-03-04,0.3030523360320181,0.2263080375956334
152,p19,2021-01-15,0.07875828186358153,-0.0
153,p19,2021-01-21,0.4910303560770578,0.40896624792998737
154,p19,2021-01-22,0.35472645279520454,0.2737866165382731
155,p19,2021-01-29,0.39954224965616836,0.31823624856436544
156,p19,2021-02-17,0.9027526712841996,0.8170938463946561
157,p19,2021-02-18,1.048920849875598,0.9619105394111032
158,p19,2021-02-24,0.8328432979741939,0.747816587434983
159,p19,2021-03-04,0.639581351211108,0.5562553575046796
160,p20,2021-01-15,0.023094071870384474,-0.0
161,p20,2021-01-21,0.7485912803640458,0.7237340022036393
162,p20,2021-01-22,0.6097698941572295,0.5852708795727642
163,p20,2021-01-29,0.33535806315091793,0.31153754216832974
164,p20,2021-02-17,1.0805585332549612,1.054801438425094
165,p20,2021-02-18,1.1705642278862507,1.1445522822610228
166,p20,2021-02-24,0.9146358965607991,0.8893363018246666
167,p20,2021-03-04,0.843827307231681,0.8187182031323421
168,p21,2021-01-15,-0.05480062623693482,-0.0
169,p21,2021-01-21,0.8112241019197649,0.8710957433853973
170,p21,2021-01-22,0.6732243046389308,0.732224993964331
171,p21,2021-01-29,0.44695160434826015,0.5045776430299754
172,p21,2021-02-17,1.0119597388124366,1.0731441237136465
173,p21,2021-02-18,0.9614364807596105,1.02228523877314
174,p21,2021-02-24,0.3417872325401424,0.39879623124574975
175,p21,2021-03-04,0.3498994573574193,0.40695557111642133
176,p22,2021-01-15,-0.009411160368974813,-0.0
177,p22,2021-01-21,0.6370626065844821,0.6471086822234332
178,p22,2021-01-22,0.6976733674688789,0.7077834768258151
179,p22,2021-01-29,0.24537090411350093,0.25502212398524354
180,p22,2021-02-17,0.9823442823861361,0.9927662089259027
181,p22,2021-02-18,0.7860457030607458,0.7962506380175361
182,p22,2021-02-24,0.3866999061015807,0.3964898919053143
183,p22,2021-03-04,0.36082087537228885,0.3705851446461156
184,p23,2021-01-15,-0.039366828967165146,-0.0
185,p23,2021-01-21,0.5785761676919147,0.6204739147990543
186,p23,2021-01-22,1.1568375180848938,1.2014191729793722
187,p23,2021-01-29,0.34882336176900147,0.38974170091058286
188,p23,2021-02-17,0.736464004655825,0.7790626292288835
189,p23,2021-02-18,0.6758944231777537,0.7182214330332503
190,p23,2021-02-24,0.3202029424454435,0.3610025408448783
191,p23,2021-03-04,0.30758797767347584,0.34833546426825795
192,p24,2021-01-15,-0.07138726844820469,-0.0
193,p24,2021-01-21,0.8107245421555597,0.888852393778978
194,p24,2021-01-22,0.6741908664851093,0.7511920382986643
195,p24,2021-01-29,0.1894423285346292,0.26269445787356877
196,p24,2021-02-17,1.1045435908042496,1.1852084882307727
197,p24,2021-02-18,1.1032963478665494,1.1839501412395133
198,p24,2021-02-24,0.8680891537799141,0.9467001057207525
199,p24,2021-03-04,1.0070027007203706,1.0868079315303951
200,p25,2021-01-15,-0.04270541936494797,-0.0
201,p25,2021-01-21,0.38964300827861814,0.43423176247884115
202,p25,2021-01-22,0.4769577587655935,0.5219479827564556
203,p25,2021-01-29,0.3335416953461992,0.3778763422676189
204,p25,2021-02-17,0.7855351363927071,0.8320044448422248
205,p25,2021-02-18,0.7546515901582289,0.8009685267954407
206,p25,2021-02-24,0.2752516673399352,0.31932543455763235
207,p25,2021-03-04,0.24666819657325176,0.2906151952896084
